Model,Held-out target,Emotion,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std
Sequence-level Cross-Attention,RESD,disgust,61.57423421345939,3.2295902483755996,54.41441441441441,2.666423168819595,57.68616858619742,1.0836611902111088
Sequence-level Cross-Attention,RESD,fear,43.5503277856219,1.6069158934055037,79.52167414050821,3.6522546256713304,56.22007079573829,0.40518314270278316
Sequence-level Cross-Attention,RESD,happy,65.39170897597087,1.9505953635495936,66.36085626911314,0.700699647546772,65.8659030326491,1.2256444719064932
Sequence-level Cross-Attention,RESD,neutral,61.20575924219684,2.969925726650953,58.987783595113434,4.750665825066734,59.938708379587176,1.7704564252358312
Sequence-level Cross-Attention,RESD,sad,61.133724759976154,5.369776749679528,37.44855967078189,2.167829990298918,46.31519708669242,1.411720341145981
emotion2vec MLP,EMODB,angry,81.33675932966939,3.0383630226210223,95.95238095238096,1.0910894511799607,88.01326414438431,1.555376763961269
emotion2vec MLP,EMODB,disgust,80.0643274853801,2.904043165606348,81.44654088050315,2.723350326366165,80.68800191777538,0.7463517906031018
emotion2vec MLP,EMODB,fear,93.9941387785971,1.8488213807551321,63.143631436314365,1.2418904322373578,75.52416479688402,0.6137049349356513
emotion2vec MLP,EMODB,happy,84.54545454545455,2.6210369533342717,79.66101694915254,3.6939821555429417,81.95900455962375,1.2459203798210052
emotion2vec MLP,EMODB,neutral,82.32436183255855,3.6054976356329913,92.76729559748428,2.3741617720977124,87.17104682358473,1.260279698481107
emotion2vec MLP,EMODB,sad,85.75669944090998,0.6878782848644448,89.86666666666667,0.461880215351699,87.76105791153672,0.1421655929605064
emotion2vec MLP,RAVDESS,angry,95.95275940453605,0.011841260712498304,98.78472222222223,0.30070326520293555,97.34801045855032,0.15222471008889008
emotion2vec MLP,RAVDESS,disgust,99.2802479899254,0.3129235283044723,95.83333333333333,0.5208333333333286,97.52618603193316,0.4076346914310834
emotion2vec MLP,RAVDESS,fear,97.5536764200376,0.35583529965896626,90.10416666666667,1.3779954745128187,93.67890948889355,0.9083712143958576
emotion2vec MLP,RAVDESS,happy,97.30494270136215,0.5173639226718448,93.92361111111113,0.30070326520293555,95.58330296826205,0.14026287657211917
emotion2vec MLP,RAVDESS,neutral,86.58507639816052,2.8390704486098124,97.91666666666667,1.0416666666666714,91.87478044914998,1.2117722059845073
emotion2vec MLP,RAVDESS,sad,88.93498128914514,1.0672206232615071,93.40277777777779,1.9718431756250872,91.10477417403213,1.0741534592360746
emotion2vec MLP,RESD,angry,92.43881387703304,0.6227543990392784,48.24961948249619,2.298275322761265,63.377498516303376,1.857507100072419
emotion2vec MLP,RESD,disgust,62.93104768181888,2.2714926805630227,60.0,2.3561615911030693,61.37938250735497,0.7665804220999329
emotion2vec MLP,RESD,fear,42.22523950116304,0.43252948189666124,84.75336322869956,1.3452914798206272,56.36252174214123,0.2681228329948556
emotion2vec MLP,RESD,happy,67.72022797531754,2.768623664234864,60.091743119266056,0.45871559633027825,63.659329074399466,1.2477717149347516
emotion2vec MLP,RESD,neutral,64.07503391875754,3.4431026057128817,57.76614310645724,1.3175976326825038,60.70010904754583,1.0048941344378841
emotion2vec MLP,RESD,sad,69.27407388804828,1.5685999653016036,39.7119341563786,3.10692775114023,50.40613526113498,2.1595879975625185
