dataset,model,fold,seed,accuracy,macro_f1,weighted_f1,uar,best_val_macro_f1,selected_epoch
ravdess,emotion2vec MLP,5,2024,0.9715909090909091,0.9656716827079731,0.9713485805494603,0.9635416666666666,0.9706392575245034,1.0
ravdess,Concat Fusion MLP,5,2024,0.9659090909090909,0.960457105618396,0.9656599509971944,0.9583333333333334,0.9947903947903948,13.0
resd,Handcrafted SVM-RBF,1,deterministic,0.21074380165289255,0.18871130823861207,0.2011039970762351,0.2004037336932074,,
resd,Handcrafted MLP,1,42,0.17355371900826447,0.17904773363176552,0.17354364038264172,0.18275297028393003,0.197140252280267,2.0
resd,emotion2vec MLP,1,42,0.6239669421487604,0.5689487078348421,0.609113970193499,0.5868127331904421,0.6716549526796206,7.0
resd,Concat Fusion MLP,1,42,0.628099173553719,0.5748132034141421,0.6128267811017515,0.590774523034585,0.6204949927333648,2.0
resd,Handcrafted MLP,1,123,0.19834710743801653,0.18215273098969645,0.19360365949391178,0.19102894869148737,0.2526925053733296,3.0
resd,emotion2vec MLP,1,123,0.6528925619834711,0.6009971493359838,0.6384376593076744,0.6125232859675583,0.668422989733716,1.0
resd,Concat Fusion MLP,1,123,0.6115702479338843,0.560586614891287,0.5929106271635535,0.5772072715725965,0.6344933055147989,1.0
resd,Handcrafted MLP,1,2024,0.1652892561983471,0.16442067578682684,0.1504775583164114,0.17816854542086744,0.2375789693980257,2.0
resd,emotion2vec MLP,1,2024,0.6487603305785123,0.5912136796997812,0.6343660353434019,0.6042441322007885,0.6579852541956335,6.0
resd,Concat Fusion MLP,1,2024,0.6198347107438017,0.5652322265702726,0.6028263695172452,0.5820653727077876,0.6452981886229295,2.0
resd,Handcrafted SVM-RBF,2,deterministic,0.16597510373443983,0.1449913217858406,0.16444340205817284,0.14843210802700676,,
resd,Handcrafted MLP,2,42,0.17012448132780084,0.15421242034895447,0.17487084547986703,0.1541155160585018,0.10943854617550512,23.0
resd,emotion2vec MLP,2,42,0.6929460580912863,0.6700882407757623,0.704161179051283,0.6910050589570469,0.49049272287452483,1.0
resd,Concat Fusion MLP,2,42,0.6639004149377593,0.6412781653045013,0.6744559321878786,0.6498375876020287,0.49132833390225866,1.0
resd,Handcrafted MLP,2,123,0.16182572614107885,0.14243474023222305,0.16668315129033723,0.13951237809452363,0.08957194570031717,10.0
resd,emotion2vec MLP,2,123,0.6846473029045643,0.6610850822219133,0.6992848079980813,0.6707684613461057,0.49181422142563314,8.0
resd,Concat Fusion MLP,2,123,0.6431535269709544,0.6206881705057997,0.6566975275078544,0.6348972178942172,0.5016677391677392,1.0
resd,Handcrafted MLP,2,2024,0.15767634854771784,0.1451480246989043,0.16704156347622967,0.13905158982053206,0.09959729262139842,18.0
resd,emotion2vec MLP,2,2024,0.6929460580912863,0.6665999138707663,0.7017842862792557,0.6840769807836575,0.492154856155107,1.0
resd,Concat Fusion MLP,2,2024,0.6556016597510373,0.6373713716035105,0.6657155687534827,0.6548462115528882,0.5032143690089491,1.0
resd,Handcrafted SVM-RBF,3,deterministic,0.19831223628691982,0.19204700398153673,0.1979821688274249,0.22398836688849197,,
resd,Handcrafted MLP,3,42,0.189873417721519,0.17080205095343867,0.1812346238254618,0.21600512645104156,0.2944209653469804,1.0
resd,emotion2vec MLP,3,42,0.5232067510548524,0.5206967396646955,0.5325978742692075,0.5734161202405148,0.7891267329742253,21.0
resd,Concat Fusion MLP,3,42,0.4978902953586498,0.4909230653212049,0.5084631694116688,0.5437614804965006,0.7896533214251247,2.0
resd,Handcrafted MLP,3,123,0.22784810126582278,0.2043788389289888,0.21915770807874987,0.23901525767996476,0.3359079440568374,1.0
resd,emotion2vec MLP,3,123,0.5485232067510548,0.5525149190110827,0.555416707134147,0.5944407787427541,0.7931590962215185,11.0
resd,Concat Fusion MLP,3,123,0.45147679324894513,0.44162221605098456,0.46060225453023307,0.48871868123112455,0.7701208169293277,6.0
resd,Handcrafted MLP,3,2024,0.17721518987341772,0.16872730595936816,0.16464393964326285,0.2120217946667989,0.22851970261080456,3.0
resd,emotion2vec MLP,3,2024,0.5274261603375527,0.5215617596262757,0.5347060736852489,0.5597864488168768,0.807647173141258,12.0
resd,Concat Fusion MLP,3,2024,0.5232067510548524,0.5187540218166742,0.5268678804420557,0.5684766151892162,0.7980055842728165,1.0
resd,Handcrafted SVM-RBF,4,deterministic,0.25416666666666665,0.219431376664329,0.24935893366914258,0.23122118355474566,,
resd,Handcrafted MLP,4,42,0.275,0.20024367665877096,0.24279652998992624,0.2247306287686063,0.1614063725478742,1.0
resd,emotion2vec MLP,4,42,0.6208333333333333,0.5856855059332309,0.6224927211593035,0.5867371365426729,0.6601484313177862,6.0
resd,Concat Fusion MLP,4,42,0.6291666666666667,0.590534707775069,0.6334701289677496,0.5986856818245516,0.6225514714002939,3.0
resd,Handcrafted MLP,4,123,0.26666666666666666,0.18395886504759038,0.21748308405543973,0.21708789316888152,0.1444416678337701,1.0
resd,emotion2vec MLP,4,123,0.6125,0.5757681301517749,0.6126501386608826,0.5763178749108742,0.6513398142817023,12.0
resd,Concat Fusion MLP,4,123,0.6625,0.6360987112901954,0.6698191166132034,0.6353147475316315,0.6398191371201428,1.0
resd,Handcrafted MLP,4,2024,0.2875,0.22848657341829626,0.27979434291841404,0.23347834029600212,0.18531975224769284,4.0
resd,emotion2vec MLP,4,2024,0.5958333333333333,0.5582746294973197,0.5977493894592144,0.5606290719880287,0.655432247799899,19.0
resd,Concat Fusion MLP,4,2024,0.6375,0.5928378556868962,0.636130773936332,0.5993621933452636,0.639594631987135,2.0
resd,Handcrafted SVM-RBF,5,deterministic,0.12184873949579832,0.11567015020525458,0.10234316167854669,0.1974490401573735,,
resd,Handcrafted MLP,5,42,0.13445378151260504,0.1236447598550773,0.10653830130120646,0.2065741164699498,0.15472839853644807,20.0
resd,emotion2vec MLP,5,42,0.7857142857142857,0.7431837503414828,0.7986207260968943,0.776662978225478,0.5556213548876455,1.0
resd,Concat Fusion MLP,5,42,0.6638655462184874,0.6091307733406087,0.679128466855828,0.6612054419346086,0.5572863220255954,7.0
resd,Handcrafted MLP,5,123,0.13025210084033614,0.12729845038772697,0.11020755148876504,0.21549802435219104,0.16168568742526174,11.0
resd,emotion2vec MLP,5,123,0.7689075630252101,0.7264156070394661,0.779763125621125,0.7756406016822682,0.5572974538167319,3.0
resd,Concat Fusion MLP,5,123,0.7521008403361344,0.7237109508316695,0.764906120096754,0.7613163071496404,0.5410639657482691,1.0
resd,Handcrafted MLP,5,2024,0.15546218487394958,0.140674729969569,0.1393959851865753,0.21688330959164293,0.1787363870697204,6.0
resd,emotion2vec MLP,5,2024,0.7983193277310925,0.7528108698878012,0.8061605521455028,0.7772959486501154,0.5688281138667572,1.0
resd,Concat Fusion MLP,5,2024,0.7100840336134454,0.669902463004735,0.7255216487178011,0.7437209588251253,0.5489980607627666,4.0
